XKALM, YKALM, XCZYST, YCZYST
0.155, -30.261, 3.887, -29.916
0.373, -29.354, 1.976, -27.541
0.376, -28.053, 1.793, -24.751
0.265, -26.368, 2.607, -24.134
0.046, -25.557, 2.619, -22.876
-0.401, -24.978, 1.200, -22.606
-0.138, -25.124, 1.456, -23.094
-0.292, -25.121, 3.497, -23.150
-0.423, -24.892, -0.052, -23.539
-0.160, -25.119, 0.713, -23.303
0.032, -25.351, 2.770, -23.576
-1.064, -25.810, 0.836, -23.828
-2.120, -24.871, 0.599, -23.281
-2.283, -24.447, -0.430, -23.093
-2.030, -23.484, -1.710, -20.933
-1.256, -20.342, -0.431, -21.452
-1.182, -14.525, 0.431, -15.118
-1.800, -7.958, -0.725, -7.004
-2.164, -1.565, -0.720, -2.373
-2.067, 4.352, -0.453, 1.051
-2.573, 10.299, -0.871, 8.055
-3.588, 18.186, -1.567, 14.078
-4.375, 22.815, -2.338, 20.759
-4.799, 25.504, -2.496, 22.961
-5.514, 26.326, -3.460, 22.906
-5.592, 25.430, -3.834, 21.206
-5.519, 21.409, -4.104, 19.324
-5.362, 12.675, -3.617, 10.369
-5.209, 4.669, -2.421, 5.133
-4.937, -6.248, -3.660, -3.050
-4.548, -15.062, -2.904, -15.898
-3.986, -24.570, -2.564, -22.731
-3.083, -30.776, -1.768, -26.876
-2.529, -33.443, -0.123, -29.594
-2.578, -35.098, -0.699, -30.695
-2.634, -35.761, -0.203, -32.459
-1.971, -37.148, -1.461, -34.458
-1.877, -38.843, -0.300, -34.996
-2.214, -41.232, -0.500, -37.313
-2.474, -43.316, -0.900, -36.156
-1.792, -41.599, 0.000, -35.848
-0.616, -32.411, -0.044, -30.523
-0.123, -19.170, 0.632, -19.243
-1.199, -6.417, -0.382, -10.445
-2.482, 9.277, -1.066, 3.860
-2.681, 15.090, -2.158, 10.498
-2.690, 24.512, -0.498, 21.484
-3.032, 33.525, -0.484, 28.409
-3.385, 33.102, -3.752, 40.836
-3.681, 27.336, -1.770, 23.288
-3.957, 17.851, -2.249, 15.488
-3.804, 13.887, -4.111, 7.646
-3.613, -3.070, -5.465, -5.199
-3.387, -17.016, -1.319, -15.203
-2.945, -27.128, -3.902, -21.839
-2.847, -30.488, -1.186, -26.355
-2.975, -29.928, -1.468, -23.675
-2.576, -28.978, -1.701, -24.726
-1.764, -30.672, -0.554, -26.429
-1.706, -32.681, -0.709, -27.835
-1.646, -37.674, 0.411, -32.731
-2.061, -41.387, -1.732, -34.908
-2.692, -41.954, -1.336, -36.715
-2.300, -40.508, -1.602, -35.928
-1.927, -34.970, -1.725, -30.840
-1.803, -27.509, -1.600, -26.875
-2.046, -18.713, -1.522, -17.190
-1.911, -9.755, -2.335, -10.616
-2.137, -0.600, -1.743, 0.715
-2.617, 7.841, -2.434, 6.544
-2.997, 12.520, -2.620, 11.446
-3.145, 15.238, -2.953, 15.655
-3.127, 12.363, -2.797, 13.477
-3.230, 6.595, -3.079, 6.106
-3.259, -2.928, -1.896, -0.067
-2.280, -17.282, -1.960, -14.337
-1.075, -31.977, -2.036, -26.132
-0.033, -42.270, -0.073, -31.944
-0.680, -44.943, -0.828, -35.618
-0.809, -43.399, -0.428, -36.205
-0.428, -39.921, -1.144, -32.033
-0.400, -37.722, 0.429, -31.425
-0.926, -30.134, -1.161, -25.963
-0.684, -19.050, -1.338, -16.250
0.154, -6.296, -0.935, -2.327
0.205, 5.186, 2.145, 4.309
-0.293, 15.785, 0.447, 15.670
-1.296, 23.806, -0.703, 22.934
-2.047, 26.818, 0.031, 25.370
-2.156, 24.757, 0.305, 22.718
-1.823, 19.357, -2.058, 18.546
-0.667, 10.997, 0.649, 10.813
-0.168, 5.467, 2.731, 6.779
-0.543, -8.025, 0.879, -7.202
0.330, -19.881, 0.513, -14.709
0.489, -24.653, 1.985, -20.816
-0.062, -29.333, 1.753, -23.256
-0.579, -33.892, 0.283, -28.574
-1.164, -38.476, -0.109, -32.720
-1.694, -42.606, -1.666, -35.878
-1.452, -43.634, 0.599, -37.847
-1.316, -43.544, 0.626, -36.864
-1.627, -40.405, -0.711, -34.818
-2.000, -36.982, 0.753, -29.480
-2.662, -27.113, -1.551, -23.874
-2.851, -19.972, -0.588, -15.868
-2.872, -18.034, -0.565, -14.531
-2.466, -12.627, -1.985, -8.501
-2.274, -6.174, -1.787, -5.772
-2.186, -0.661, -0.702, -0.100
-2.237, 6.627, -1.909, 6.069
-2.054, 12.846, -2.480, 11.390
-2.180, 18.822, -1.895, 17.395
-2.525, 22.638, -1.693, 23.099
-2.890, 22.013, -1.909, 22.527
-3.492, 15.862, -2.890, 17.136
-4.028, 4.296, -2.315, 6.744
-3.370, -10.134, -3.204, -8.954
-1.985, -25.309, -2.184, -20.086
-1.303, -31.904, -0.491, -25.653
