XKALM, YKALM, XCZYST, YCZYST, KZAD, WZAD, WYS, CZAS 

-4.483, 4.390, -4.258, 4.372, 3, 5, 20.9, 546273879
-4.487, 4.388, -4.260, 4.374, 3, 5, 20.7, 546274057
-4.489, 4.389, -4.309, 4.331, 3, 5, 20.5, 546274180
-4.491, 4.391, -4.328, 4.564, 3, 5, 20.4, 546274262
-4.496, 4.392, -4.419, 4.441, 3, 5, 20.8, 546274358
-4.495, 4.386, -4.276, 4.474, 3, 5, 21.1, 546274433
-4.493, 4.389, -4.216, 4.407, 3, 5, 20.6, 546274525
-4.493, 4.391, -4.296, 4.364, 3, 5, 20.8, 546274603
-4.496, 4.393, -4.336, 4.480, 3, 5, 20.7, 546274698
-4.493, 4.395, -4.358, 4.395, 3, 5, 20.8, 546274775
-4.495, 4.391, -4.304, 4.288, 3, 5, 20.9, 546274871
-4.494, 4.389, -4.312, 4.441, 3, 5, 20.7, 546274951
-4.494, 4.391, -4.315, 4.474, 3, 5, 20.5, 546275042
-4.494, 4.390, -4.295, 4.370, 3, 5, 20.5, 546275141
-4.494, 4.384, -4.318, 4.394, 3, 5, 20.5, 546275233
-4.494, 4.385, -4.361, 4.338, 3, 5, 20.5, 546275285
-4.493, 4.385, -4.201, 4.429, 3, 5, 20.5, 546275392
-4.493, 4.385, -4.334, 4.486, 3, 5, 20.7, 546275479
-4.488, 4.396, -4.393, 4.308, 3, 5, 20.8, 546275572
-4.491, 4.402, -4.026, 4.544, 3, 5, 20.6, 546275650
-4.483, 4.409, -4.054, 4.258, 3, 5, 20.5, 546275753
-4.483, 4.404, -4.311, 4.501, 3, 5, 20.6, 546275838
-4.483, 4.400, -4.076, 4.313, 3, 5, 20.7, 546275934
-4.477, 4.392, -4.097, 4.370, 3, 5, 20.6, 546276027
-4.483, 4.394, -4.372, 4.463, 3, 5, 20.7, 546276115
-4.481, 4.393, -4.391, 4.398, 3, 5, 20.6, 546276228
-4.482, 4.392, -4.488, 4.366, 3, 5, 20.8, 546276322
-4.483, 4.395, -4.090, 4.441, 3, 5, 21.0, 546276415
-4.483, 4.400, -3.834, 4.559, 3, 5, 20.6, 546276525
-4.491, 4.405, -3.793, 4.510, 3, 5, 20.8, 546276621
-4.495, 4.406, -4.280, 4.332, 3, 5, 20.5, 546276716
-4.500, 4.408, -3.964, 4.437, 3, 5, 20.3, 546276794
-4.502, 4.408, -4.261, 4.344, 3, 5, 20.8, 546276916
-4.500, 4.408, -4.467, 4.428, 3, 5, 20.2, 546277017
-4.501, 4.408, -4.259, 4.434, 3, 5, 20.8, 546277123
-4.495, 4.407, -4.384, 4.489, 3, 5, 20.8, 546277216
-4.490, 4.404, -3.984, 4.499, 3, 5, 20.7, 546277329
-4.495, 4.404, -4.050, 4.387, 3, 5, 20.5, 546277422
-4.498, 4.405, -4.284, 4.444, 3, 5, 20.9, 546277515
-4.499, 4.406, -4.172, 4.407, 3, 5, 20.9, 546277617
-4.495, 4.403, -4.459, 4.496, 3, 5, 20.8, 546277718
-4.496, 4.406, -3.964, 4.543, 3, 5, 20.6, 546277812
-4.505, 4.410, -4.442, 4.380, 3, 5, 20.6, 546277926
-4.506, 4.411, -4.823, 4.548, 3, 5, 20.5, 546278012
-4.504, 4.409, -3.957, 4.383, 3, 5, 20.9, 546278112
-4.508, 4.412, -4.202, 4.369, 3, 5, 20.9, 546278199
-4.511, 4.411, -4.669, 4.294, 0, 5, 20.4, 546278313
-4.506, 4.407, -4.293, 4.209, 0, 5, 21.0, 546278402
-4.507, 4.389, -3.982, 4.342, 0, 5, 21.0, 546278496
-4.506, 4.381, -4.451, 4.381, 0, 5, 20.7, 546278575
-4.508, 4.370, -4.110, 4.437, 0, 5, 20.4, 546278670
-4.515, 4.350, -4.062, 4.289, 0, 5, 20.6, 546278761
-4.525, 4.336, -4.447, 4.272, 0, 5, 20.6, 546278856
-4.528, 4.326, -4.134, 4.209, 0, 5, 20.6, 546278963
-4.528, 4.316, -4.338, 4.368, 0, 5, 21.0, 546279057
-4.531, 4.308, -4.408, 4.126, 0, 5, 20.7, 546279168
-4.529, 4.301, -4.097, 4.296, 0, 5, 20.9, 546279260
-4.527, 4.293, -4.050, 4.110, 0, 5, 20.5, 546279357
-4.534, 4.282, -4.490, 4.201, 0, 5, 20.7, 546279466
-4.534, 4.267, -4.446, 4.049, 0, 5, 20.7, 546279558
-4.538, 4.251, -4.491, 4.087, 0, 5, 20.9, 546279666
-4.540, 4.231, -4.140, 4.132, 0, 5, 20.7, 546279760
-4.538, 4.204, -4.203, 4.020, 0, 5, 20.8, 546279874
-4.535, 4.167, -4.071, 3.888, 0, 5, 20.9, 546279979
-4.538, 4.150, -4.313, 4.000, 0, 5, 20.5, 546280075
-4.535, 4.107, -4.140, 3.902, 0, 5, 20.8, 546280183
-4.538, 4.083, -4.234, 3.861, 0, 5, 21.1, 546280259
-4.536, 4.049, -4.047, 3.423, 0, 5, 20.3, 546280370
-4.539, 4.021, -4.159, 3.569, 0, 5, 20.9, 546280462
-4.529, 3.982, -3.764, 3.885, 0, 5, 20.7, 546280555
-4.546, 3.974, -4.425, 4.011, 0, 5, 20.9, 546280655
-4.548, 3.939, -3.852, 2.946, 0, 5, 20.4, 546280744
-4.539, 3.884, -3.988, 2.667, 0, 5, 20.7, 546280833
-4.543, 3.868, -4.230, 3.762, 0, 5, 21.1, 546280911
-4.533, 3.821, -4.476, 3.499, 0, 5, 20.6, 546281016
-4.532, 3.782, -4.427, 2.997, 0, 5, 20.8, 546281113
-4.535, 3.769, -4.116, 2.456, 0, 5, 20.9, 546281192
-4.531, 3.749, -3.835, 2.308, 0, 5, 20.8, 546281287
-4.529, 3.718, -4.310, 2.849, 0, 5, 20.8, 546281380
-4.530, 3.692, -4.419, 3.308, 0, 5, 20.9, 546281473
-4.532, 3.670, -3.965, 2.411, 0, 5, 20.6, 546281573
-4.532, 3.640, -4.278, 2.949, 0, 5, 20.9, 546281663
