XKALM, YKALM, XCZYST, YCZYST, KZAD, WZAD, WYS, CZAS 

4.334, -0.035, 4.340, -0.049, 0, 5, 28.3, 890177594
4.333, -0.035, 4.259, -0.081, 0, 5, 28.5, 890177718
4.336, -0.034, 4.327, -0.024, 0, 5, 28.7, 890177816
4.340, -0.035, 4.376, -0.089, 0, 5, 28.6, 890177908
4.333, -0.031, 4.091, 0.000, 0, 5, 28.5, 890178006
4.335, -0.035, 4.609, -0.024, 0, 5, 28.5, 890178115
4.339, -0.035, 4.314, -0.146, 0, 5, 28.6, 890178206
4.339, -0.034, 4.455, -0.089, 0, 5, 28.0, 890178302
4.339, -0.035, 4.180, -0.057, 0, 5, 28.1, 890178409
4.333, -0.033, 4.310, -0.016, 0, 5, 28.6, 890178502
4.337, -0.037, 4.289, -0.146, 0, 5, 28.7, 890178581
4.337, -0.036, 4.443, 0.104, 0, 5, 28.5, 890178660
4.326, -0.034, 4.250, -0.049, 0, 5, 28.4, 890178768
4.328, -0.030, 4.473, 0.039, 0, 5, 28.1, 890178861
4.327, -0.034, 4.290, -0.057, 0, 5, 28.1, 890178938
4.329, -0.035, 4.384, -0.016, 0, 5, 28.5, 890179040
4.328, -0.037, 4.380, -0.105, 0, 5, 28.8, 890179129
4.325, -0.038, 4.159, 0.031, 0, 5, 27.9, 890179205
4.328, -0.034, 4.445, -0.186, 0, 5, 28.0, 890179313
4.333, -0.036, 4.317, -0.105, 0, 5, 28.9, 890179408
4.319, -0.032, 4.260, 0.210, 0, 5, 28.7, 890179504
4.324, -0.036, 4.597, -0.210, 0, 5, 28.6, 890179599
4.324, -0.043, 4.510, -0.162, 0, 5, 28.3, 890179702
4.324, -0.047, 4.330, 0.055, 0, 5, 28.7, 890179802
4.326, -0.054, 4.410, -0.097, 0, 5, 28.5, 890179912
4.317, -0.051, 4.233, 0.128, 0, 5, 28.5, 890180004
4.317, -0.053, 4.352, -0.008, 0, 5, 28.5, 890180106
4.321, -0.045, 4.497, 0.160, 0, 5, 28.6, 890180188
4.319, -0.038, 4.329, -0.016, 0, 5, 28.7, 890180290
4.323, -0.034, 4.283, 0.000, 0, 5, 28.8, 890180368
4.322, -0.031, 4.257, 0.104, 0, 5, 28.7, 890180463
4.324, -0.030, 4.488, -0.008, 0, 5, 28.5, 890180566
4.331, -0.025, 4.583, -0.024, 0, 5, 28.7, 890180650
4.333, -0.026, 4.489, 0.031, 0, 5, 28.2, 890180748
4.330, -0.024, 4.456, -0.008, 0, 5, 28.3, 890180822
4.329, -0.026, 4.403, -0.154, 0, 5, 28.3, 890180925
4.322, -0.026, 4.323, 0.088, 0, 5, 28.3, 890181023
4.319, -0.031, 4.326, 0.031, 0, 5, 28.4, 890181117
4.322, -0.026, 4.479, 0.000, 0, 5, 28.9, 890181215
4.324, -0.029, 4.211, 0.063, 0, 5, 28.2, 890181302
4.327, -0.032, 4.478, -0.057, 0, 5, 28.4, 890181424
4.330, -0.031, 4.437, -0.105, 0, 5, 28.7, 890181523
4.326, -0.034, 4.410, -0.065, 0, 5, 28.0, 890181630
4.319, -0.029, 4.424, 0.072, 0, 5, 28.6, 890181729
4.320, -0.032, 4.508, -0.041, 0, 5, 28.9, 890181827
4.316, -0.033, 4.334, -0.089, 0, 5, 29.0, 890181928
4.316, -0.032, 4.272, 0.112, 0, 5, 28.6, 890182020
4.314, -0.034, 4.267, -0.065, 0, 5, 28.7, 890182134
4.309, -0.033, 4.231, 0.055, 0, 5, 28.9, 890182221
4.310, -0.035, 4.306, 0.023, 0, 5, 28.5, 890182305
4.309, -0.037, 4.200, -0.073, 6, 5, 29.0, 890182440
4.311, -0.037, 4.460, -0.057, 6, 5, 28.6, 890182554
4.313, -0.034, 4.374, -0.040, 6, 5, 28.9, 890182647
4.311, -0.028, 4.277, 0.112, 6, 5, 28.3, 890182745
4.313, -0.024, 4.364, 0.112, 6, 5, 28.7, 890182836
4.317, -0.020, 4.339, 0.023, 6, 5, 28.3, 890182933
4.312, -0.018, 4.236, 0.023, 6, 5, 28.0, 890183022
4.319, -0.007, 4.307, -0.016, 6, 5, 29.0, 890183134
4.318, 0.004, 4.212, -0.016, 6, 5, 28.7, 890183225
4.321, 0.016, 4.458, 0.063, 6, 5, 28.6, 890183310
4.324, 0.026, 4.402, 0.031, 6, 5, 28.5, 890183409
4.325, 0.054, 4.518, 0.168, 6, 5, 28.9, 890183523
4.331, 0.080, 4.426, 0.176, 6, 5, 28.4, 890183632
4.339, 0.138, 4.333, 0.217, 6, 5, 28.2, 890183765
4.345, 0.182, 4.497, 0.224, 6, 5, 28.6, 890183859
4.351, 0.235, 4.289, 0.362, 6, 5, 28.0, 890183971
4.337, 0.282, 4.598, 0.338, 6, 5, 28.6, 890184065
4.330, 0.319, 4.139, 0.583, 6, 5, 28.6, 890184146
4.318, 0.386, 4.476, 0.748, 6, 5, 28.7, 890184255
4.316, 0.456, 4.455, 0.630, 6, 5, 28.0, 890184366
4.323, 0.503, 4.582, 0.829, 6, 5, 28.7, 890184470
4.324, 0.592, 4.439, 0.918, 6, 5, 28.6, 890184573
4.323, 0.685, 4.242, 1.040, 6, 5, 29.0, 890184663
4.320, 0.755, 4.482, 1.201, 6, 5, 28.7, 890184767
4.321, 0.885, 4.313, 1.406, 6, 5, 28.5, 890184863
4.324, 0.935, 4.551, 1.560, 6, 5, 28.3, 890184944
4.321, 1.029, 4.180, 1.649, 6, 5, 28.1, 890185052
4.313, 1.120, 4.283, 1.832, 6, 5, 28.3, 890185145
4.317, 1.195, 4.550, 1.937, 6, 5, 28.6, 890185255
4.321, 1.267, 4.583, 2.100, 6, 5, 28.2, 890185348
4.314, 1.332, 4.084, 2.044, 6, 5, 28.5, 890185440
4.308, 1.384, 4.274, 2.312, 6, 5, 28.2, 890185541
4.305, 1.445, 4.065, 1.876, 6, 5, 28.1, 890185631
4.308, 1.542, 4.616, 2.212, 6, 5, 28.4, 890185746
4.311, 1.656, 4.200, 1.758, 6, 5, 28.4, 890185831
4.325, 1.773, 4.466, 2.862, 6, 5, 29.0, 890185910
4.322, 1.893, 5.085, 2.985, 6, 5, 28.1, 890186003
4.328, 2.008, 4.164, 2.249, 6, 5, 28.5, 890186112
4.337, 2.142, 4.167, 2.797, 6, 5, 28.8, 890186206
4.338, 2.261, 4.785, 3.755, 6, 5, 29.0, 890186315
4.332, 2.380, 4.039, 2.428, 6, 5, 28.1, 890186409
4.346, 2.513, 4.702, 3.997, 6, 5, 28.4, 890186514
4.327, 2.616, 4.093, 3.045, 6, 5, 28.8, 890186610
4.336, 2.742, 4.349, 4.155, 6, 5, 29.0, 890186707
4.335, 2.847, 4.283, 3.190, 6, 5, 28.0, 890186811
4.339, 2.956, 4.328, 4.440, 6, 5, 28.3, 890186909
4.331, 3.066, 4.247, 3.446, 6, 5, 28.6, 890187001
4.342, 3.145, 4.376, 3.585, 6, 5, 28.6, 890187103
4.340, 3.275, 4.453, 4.380, 6, 5, 28.1, 890187203
4.343, 3.426, 4.575, 4.095, 6, 5, 28.4, 890187314
4.347, 3.516, 4.314, 3.910, 6, 5, 28.7, 890187405
4.346, 3.583, 4.670, 4.798, 6, 5, 28.1, 890187498
4.346, 3.655, 4.205, 4.689, 6, 5, 28.1, 890187590
4.347, 3.760, 4.457, 4.142, 6, 5, 28.6, 890187690
4.355, 3.842, 4.672, 4.809, 6, 5, 28.6, 890187780
4.354, 3.918, 4.564, 4.815, 6, 5, 28.3, 890187886
4.355, 4.022, 4.184, 4.894, 6, 5, 28.5, 890187984
4.358, 4.100, 4.460, 5.231, 6, 5, 28.7, 890188064
4.354, 4.167, 4.591, 5.469, 6, 5, 28.4, 890188183
4.347, 4.282, 4.369, 4.737, 6, 5, 28.7, 890188281
4.350, 4.436, 4.578, 5.552, 6, 5, 28.4, 890188393
