XKALM, YKALM, XCZYST, YCZYST, KZAD, WZAD, WYS, CZAS

    
-1.585, -6.667, -1.438, -7.110, 0, 5, 29.5, 879612269
-1.581, -6.663, -1.423, -7.039, 0, 5, 29.0, 879614341
-1.580, -6.668, -1.500, -7.156, 0, 5, 29.1, 879614424
-1.586, -6.680, -1.347, -7.138, 0, 5, 29.3, 879614504
-1.582, -6.686, -1.291, -7.060, 0, 5, 29.2, 879614593
-1.581, -6.693, -1.433, -7.111, 0, 5, 29.3, 879614686
-1.580, -6.683, -1.485, -7.030, 0, 5, 29.2, 879614785
-1.579, -6.675, -1.320, -7.035, 0, 5, 29.2, 879614856
-1.569, -6.671, -1.435, -7.190, 0, 5, 28.9, 879614953
-1.573, -6.676, -1.334, -6.974, 0, 5, 29.2, 879615044
-1.585, -6.674, -1.340, -7.051, 0, 5, 29.3, 879615114
-1.593, -6.670, -1.472, -7.030, 0, 5, 29.1, 879615205
-1.591, -6.680, -1.329, -7.163, 0, 5, 29.2, 879615303
-1.584, -6.666, -1.323, -7.100, 0, 5, 28.9, 879615393
-1.590, -6.662, -1.437, -7.076, 0, 5, 29.5, 879615508
-1.594, -6.667, -1.441, -7.030, 0, 5, 29.3, 879615605
-1.594, -6.662, -1.444, -6.994, 0, 5, 29.1, 879615691
-1.591, -6.668, -1.393, -7.047, 0, 5, 29.0, 879615786
-1.592, -6.667, -1.412, -7.065, 0, 5, 29.2, 879615891
-1.591, -6.664, -1.362, -7.146, 0, 5, 29.3, 879615991
-1.585, -6.665, -1.262, -7.002, 0, 5, 29.6, 879616103
-1.586, -6.672, -1.397, -7.095, 0, 5, 29.3, 879616212
-1.591, -6.677, -1.413, -7.149, 0, 5, 29.2, 879616299
-1.580, -6.679, -1.454, -7.069, 0, 5, 28.5, 879616390
-1.577, -6.685, -1.519, -7.134, 0, 5, 28.8, 879616482
-1.589, -6.680, -1.428, -7.056, 0, 5, 29.6, 879616580
-1.597, -6.681, -1.519, -6.962, 0, 5, 29.4, 879616674
-1.590, -6.679, -1.314, -7.003, 0, 5, 28.7, 879616760
-1.599, -6.677, -1.476, -7.110, 0, 5, 28.8, 879616843
-1.592, -6.665, -1.298, -6.958, 0, 5, 28.9, 879616936
-1.594, -6.662, -1.535, -7.014, 0, 5, 28.9, 879617041
-1.592, -6.659, -1.373, -7.120, 0, 5, 29.0, 879617130
-1.584, -6.655, -1.438, -7.020, 0, 5, 28.7, 879617227
-1.584, -6.660, -1.434, -7.092, 0, 5, 29.0, 879617315
-1.588, -6.659, -1.412, -7.114, 0, 5, 29.2, 879617390
-1.590, -6.664, -1.319, -7.062, 0, 5, 29.1, 879617486
-1.589, -6.662, -1.394, -7.006, 0, 5, 29.2, 879617573
-1.601, -6.665, -1.532, -6.962, 0, 5, 29.1, 879617667
-1.603, -6.664, -1.386, -7.130, 0, 5, 29.3, 879617763
-1.599, -6.657, -1.398, -7.007, 0, 5, 29.1, 879617850
-1.598, -6.656, -1.298, -7.005, 0, 5, 28.7, 879617947
-1.602, -6.659, -1.391, -7.123, 0, 5, 29.4, 879618033
-1.601, -6.655, -1.421, -7.165, 0, 5, 29.5, 879618122
