XKALM, YKALM, XCZYST, YCZYST, KZAD, WZAD, WYS, CZAS

    
6.010, 17.458, 6.228, 17.097, 0, 5, 16.1, 313042086
6.009, 17.455, 6.121, 17.137, 0, 5, 16.1, 313044160
6.011, 17.452, 6.082, 17.074, 0, 5, 15.7, 313044254
6.009, 17.454, 6.120, 17.046, 0, 5, 15.9, 313044347
6.012, 17.454, 6.144, 17.128, 0, 5, 16.1, 313044442
6.013, 17.463, 6.197, 17.117, 0, 5, 16.0, 313044537
6.018, 17.448, 6.137, 17.096, 0, 5, 15.5, 313044647
6.018, 17.455, 6.150, 17.067, 0, 5, 15.9, 313044740
6.015, 17.457, 6.211, 17.145, 0, 5, 15.7, 313044816
6.015, 17.458, 6.167, 17.127, 0, 5, 15.7, 313044910
6.014, 17.457, 6.086, 17.209, 0, 5, 15.8, 313045026
6.009, 17.465, 6.188, 17.179, 0, 5, 15.8, 313045131
6.017, 17.449, 6.157, 17.022, 0, 5, 16.1, 313045227
6.018, 17.450, 6.180, 17.041, 0, 5, 15.7, 313045319
6.026, 17.446, 6.100, 17.127, 0, 5, 15.8, 313045414
6.023, 17.443, 6.125, 17.150, 0, 5, 16.1, 313045509
6.016, 17.446, 6.095, 17.090, 0, 5, 15.9, 313045603
6.014, 17.443, 6.115, 17.080, 0, 5, 15.9, 313045695
6.021, 17.448, 6.199, 17.199, 0, 5, 15.8, 313045791
6.020, 17.442, 6.157, 17.168, 0, 5, 15.7, 313045892
6.008, 17.447, 6.066, 17.197, 0, 5, 15.7, 313045978
6.013, 17.451, 6.140, 17.175, 0, 5, 16.0, 313046062
6.022, 17.451, 6.165, 17.086, 0, 5, 16.0, 313046153
6.018, 17.459, 6.131, 17.149, 0, 5, 16.0, 313046236
6.012, 17.458, 6.121, 17.072, 0, 5, 15.8, 313046323
6.010, 17.469, 6.087, 17.107, 0, 5, 15.9, 313046433
6.008, 17.462, 6.064, 17.163, 0, 5, 16.0, 313046527
6.015, 17.454, 6.188, 17.121, 0, 5, 15.9, 313046614
6.024, 17.450, 6.133, 17.019, 0, 5, 16.2, 313046714
6.019, 17.448, 6.166, 17.045, 0, 5, 16.1, 313046806
6.031, 17.476, 5.880, 17.304, 0, 5, 15.5, 313046908
5.981, 17.184, 5.980, 17.118, 0, 5, 15.9, 313046996
5.957, 16.186, 5.846, 16.078, 0, 5, 16.1, 313047092
5.924, 14.268, 5.987, 14.429, 0, 5, 15.9, 313047197
5.890, 11.235, 6.060, 12.182, 0, 5, 15.8, 313047295
5.862, 8.697, 5.987, 9.789, 0, 5, 15.6, 313047367
5.833, 5.588, 6.066, 6.940, 0, 5, 16.0, 313047463
5.786, 1.131, 5.993, 2.935, 0, 5, 15.7, 313047575
5.707, -4.176, 6.008, -1.774, 0, 5, 15.8, 313047674
5.633, -8.554, 5.818, -5.924, 0, 5, 15.7, 313047778
5.636, -11.963, 5.919, -9.324, 0, 5, 15.9, 313047870
5.637, -14.529, 5.937, -12.098, 0, 5, 16.1, 313047972
5.645, -15.407, 5.797, -13.773, 0, 5, 15.7, 313048063
5.679, -15.379, 5.862, -13.633, 0, 5, 15.9, 313048172
