XKALM, YKALM, XCZYST, YCZYST, KZAD, WZAD, WYS, CZAS 

-7.815, -13.844, -8.006, -13.844, -9, 15, 9.8, 691546774
-7.816, -13.824, -8.059, -13.792, -9, 15, 10.0, 691546973
-7.821, -13.819, -7.951, -13.807, -9, 15, 10.1, 691547053
-7.818, -13.807, -7.931, -13.765, -9, 15, 9.9, 691547144
-7.824, -13.808, -7.966, -13.600, -9, 15, 9.9, 691547241
-7.832, -13.803, -7.904, -13.787, -9, 15, 10.1, 691547335
-7.833, -13.802, -8.001, -13.764, -9, 15, 9.9, 691547411
-7.841, -13.799, -7.992, -13.878, -9, 15, 9.6, 691547506
-7.840, -13.791, -7.935, -13.776, -9, 15, 10.2, 691547599
-7.848, -13.780, -7.999, -13.720, -9, 15, 9.8, 691547692
-7.843, -13.771, -7.926, -13.733, -9, 15, 9.5, 691547794
-7.829, -13.762, -7.990, -13.730, -9, 15, 10.0, 691547888
-7.829, -13.751, -8.046, -13.706, -9, 15, 10.1, 691547977
-7.846, -13.740, -8.059, -13.670, -9, 15, 10.0, 691548088
-7.852, -13.734, -8.036, -13.641, -9, 15, 9.7, 691548178
-7.851, -13.727, -8.037, -13.872, -9, 15, 9.7, 691548284
-7.867, -11.254, -7.988, -11.202, -9, 15, 10.0, 691548383
-7.204, -3.812, -7.554, -4.428, -9, 15, 9.9, 691548474
-6.608, 4.828, -8.160, 2.744, -9, 15, 9.9, 691548566
-5.946, 11.747, -6.546, 7.897, -9, 15, 10.1, 691548661
-5.571, 16.440, -3.828, 14.674, -9, 15, 10.0, 691548754
-5.541, 17.236, -5.240, 16.685, -9, 15, 10.1, 691548838
-5.786, 15.468, -6.093, 12.950, -9, 15, 9.7, 691548943
-5.775, 13.848, -7.780, 12.135, -9, 15, 10.1, 691549039
-6.016, 11.605, -6.248, 10.048, -9, 15, 9.7, 691549130
-6.099, 10.168, -5.091, 9.169, -9, 15, 9.7, 691549222
-6.249, 8.525, -5.790, 8.889, -9, 15, 9.9, 691549332
-6.490, 4.955, -7.636, 4.864, -9, 15, 10.1, 691549423
-6.654, 3.274, -4.562, 6.118, -9, 15, 9.9, 691549522
-7.561, 2.344, -8.375, 1.869, -9, 15, 9.9, 691549618
-7.851, 2.495, -8.859, 2.040, -9, 15, 9.7, 691549707
-7.427, 4.715, -6.921, 6.195, -9, 15, 9.9, 691549800
-7.495, 6.104, -8.516, 5.555, -9, 15, 10.0, 691549895
-7.334, 6.671, -13.612, 3.438, -9, 15, 9.5, 691550001
-6.388, 6.017, -4.330, 8.957, -9, 15, 9.8, 691550094
-6.245, 4.751, -10.102, 5.702, -9, 15, 9.7, 691550171
-6.850, 0.983, -6.625, -2.639, -9, 15, 9.5, 691550267
-6.526, 2.813, -5.464, 4.048, -9, 15, 10.0, 691550369
-6.529, 6.139, -6.189, 7.140, -9, 15, 10.1, 691550467
-6.302, 6.361, -3.652, 6.326, -9, 15, 10.0, 691550562
-6.402, 5.342, -5.631, 5.372, -9, 15, 10.3, 691550655
-6.898, 6.049, -11.330, 4.606, -9, 15, 9.6, 691550757
-6.358, 7.870, -5.981, 8.442, -9, 15, 9.9, 691550864
-6.585, 8.355, -7.157, 7.939, -9, 15, 9.8, 691550952
-6.421, 8.436, -6.655, 8.566, -9, 15, 9.9, 691551046
-6.624, 7.736, -6.885, 7.008, -9, 15, 9.7, 691551119
-6.559, 7.438, -6.993, 7.155, -9, 15, 9.6, 691551203
-6.627, 7.328, -6.473, 7.490, -9, 15, 9.7, 691551342
-6.622, 7.631, -6.590, 7.790, -9, 15, 9.7, 691551440
-6.644, 7.618, -7.071, 7.457, -9, 15, 9.9, 691551542
-6.621, 7.542, -6.710, 7.587, -9, 15, 10.0, 691551637
-6.638, 7.558, -6.506, 7.532, -9, 15, 9.8, 691551735
-6.654, 7.571, -6.847, 7.420, -9, 15, 9.8, 691551838
-6.649, 7.546, -7.002, 7.510, -9, 15, 9.6, 691551944
-6.641, 7.552, -6.830, 7.354, -9, 15, 9.7, 691552057
-6.645, 7.526, -7.108, 7.677, -9, 15, 9.8, 691552157
-6.734, 6.244, -7.253, 5.856, -9, 15, 9.9, 691552231
-6.803, 4.248, -5.851, 7.201, -9, 15, 9.9, 691552307
-7.043, 2.552, -9.148, 1.588, -9, 15, 10.1, 691552404
-6.858, 1.930, -4.634, 3.213, -9, 15, 9.6, 691552482
-6.587, 2.066, -6.253, 1.578, -9, 15, 9.8, 691552577
-6.542, 3.008, -7.415, 2.610, -9, 15, 10.0, 691552675
-6.888, 3.524, -6.421, 4.231, -9, 15, 9.9, 691552778
-6.853, 3.948, -8.202, 3.382, -9, 15, 9.9, 691552871
-6.712, 4.197, -5.833, 5.569, -9, 15, 10.1, 691552969
-6.977, 4.202, -7.912, 3.016, -9, 15, 10.0, 691553061
-6.911, 4.350, -5.431, 3.563, -9, 15, 9.8, 691553144
-7.080, 5.339, -7.131, 4.963, -9, 15, 9.8, 691553235
-6.872, 6.878, -7.434, 6.842, -9, 15, 9.8, 691553329
-6.960, 6.247, -8.481, 6.006, -9, 15, 9.7, 691553425
-7.118, 4.060, -5.721, 4.422, -9, 15, 9.9, 691553529
-7.257, 3.607, -7.939, 3.043, -9, 15, 9.9, 691553633
-6.921, 5.408, -6.719, 5.963, -9, 15, 10.2, 691553733
-6.903, 6.253, -8.493, 6.615, -9, 15, 9.9, 691553835
-6.974, 4.285, -6.592, 4.598, -9, 15, 9.7, 691553922
-6.908, 3.633, -7.740, 3.443, -9, 15, 9.8, 691554010
-6.903, 4.052, -6.631, 4.119, -9, 15, 9.9, 691554119
-6.812, 4.565, -8.015, 3.939, -9, 15, 9.9, 691554198
-6.740, 5.055, -3.242, 4.159, -9, 15, 9.7, 691554295
-6.736, 5.649, -6.202, 4.957, -9, 15, 9.7, 691554400
-7.054, 5.018, -6.742, 5.992, -9, 15, 9.9, 691554496
-7.116, 4.617, -7.278, 2.929, -9, 15, 9.6, 691554591
-7.234, 4.408, -9.763, 6.359, -9, 15, 9.9, 691554683
-6.971, 4.662, -6.157, 6.106, -9, 15, 9.8, 691554778
-6.993, 4.009, -7.805, 4.000, -9, 15, 9.6, 691554875
-7.005, 4.920, -7.186, 4.902, -9, 15, 9.7, 691554965
-6.885, 5.967, -6.680, 6.254, -9, 15, 9.8, 691555058
-6.369, 5.361, -7.194, 5.358, -9, 15, 9.6, 691555143
-6.619, 5.167, -6.545, -2.732, -9, 15, 9.8, 691555217
-6.516, 5.244, -4.651, 6.257, -9, 15, 10.3, 691555310
-6.346, 5.070, -7.808, 2.856, -9, 15, 9.9, 691555403
-5.815, 4.193, -5.534, 4.726, -9, 15, 9.6, 691555495
-5.790, 4.282, -4.768, 4.482, -9, 15, 9.8, 691555587
-5.891, 5.097, -5.821, 5.204, -9, 15, 10.1, 691555682
-6.757, 6.071, -9.828, 3.667, -9, 15, 10.0, 691555794
-6.326, 7.194, -4.064, 8.650, -9, 15, 9.9, 691555910
-6.615, 7.486, -6.822, 7.208, -9, 15, 9.8, 691556008
-6.441, 7.647, -6.828, 7.158, -9, 15, 9.6, 691556087
-6.545, 7.350, -6.317, 7.594, -9, 15, 9.7, 691556187
-6.537, 7.300, -7.293, 6.536, -9, 15, 9.9, 691556288
-6.460, 7.388, -6.503, 7.447, -9, 15, 10.0, 691556387
-6.491, 7.328, -6.318, 7.250, -9, 15, 9.6, 691556479
-6.489, 7.293, -6.832, 7.052, -9, 15, 9.9, 691556572
-6.465, 7.293, -6.415, 7.306, -9, 15, 9.8, 691556651
-6.489, 7.285, -6.669, 7.159, -9, 15, 9.9, 691556743
-6.481, 7.280, -6.875, 7.162, -9, 15, 9.9, 691556839
-6.469, 7.275, -6.489, 7.275, -9, 15, 10.0, 691556938
-6.464, 7.275, -6.521, 7.233, -9, 15, 10.0, 691557051
-6.477, 7.262, -6.703, 7.276, -9, 15, 10.0, 691557136
-6.472, 7.269, -6.556, 7.096, -9, 15, 9.9, 691557234
-6.479, 7.265, -6.643, 7.248, -9, 15, 10.0, 691557325
-6.489, 7.241, -6.592, 7.280, -9, 15, 10.2, 691557431
-6.498, 7.243, -6.747, 7.294, -9, 15, 10.1, 691557534
-6.504, 7.236, -6.707, 7.256, -9, 15, 10.2, 691557634
-6.514, 7.233, -6.681, 7.205, -9, 15, 9.6, 691557726
-6.516, 7.236, -6.754, 7.147, -9, 15, 9.8, 691557820
-6.521, 7.235, -6.648, 7.221, -9, 15, 10.0, 691557921
-6.513, 7.234, -6.598, 7.359, -9, 15, 9.9, 691558024
-6.514, 7.244, -6.713, 7.214, -9, 15, 9.7, 691558116
-6.517, 7.242, -6.639, 7.198, -9, 15, 9.8, 691558209
-6.515, 7.248, -6.626, 7.283, -9, 15, 9.8, 691558307
-6.510, 7.252, -6.603, 7.276, -9, 15, 9.8, 691558411
-6.511, 7.258, -6.698, 7.296, -9, 15, 10.0, 691558494
-6.508, 7.247, -6.718, 7.267, -9, 15, 9.9, 691558586
-6.506, 7.243, -6.717, 7.347, -9, 15, 9.9, 691558665
-6.514, 7.243, -6.636, 7.192, -9, 15, 9.8, 691558755
-6.516, 7.241, -6.685, 7.111, -9, 15, 10.0, 691558855
-6.518, 7.239, -6.661, 7.292, -9, 15, 9.8, 691558953
-6.516, 7.244, -6.589, 7.259, -9, 15, 9.6, 691559039
-6.514, 7.245, -6.690, 7.255, -9, 15, 9.9, 691559129
-6.503, 7.249, -6.809, 7.301, -9, 15, 9.9, 691559235
-6.499, 7.252, -6.607, 7.327, -9, 15, 9.8, 691559335
-6.505, 7.262, -6.681, 7.337, -9, 15, 9.9, 691559428
-6.497, 7.266, -6.640, 7.263, -9, 15, 9.8, 691559539
-6.501, 7.270, -6.794, 7.302, -9, 15, 10.2, 691559637
-6.499, 7.265, -6.657, 7.297, -9, 15, 10.2, 691559730
-6.512, 7.259, -6.658, 7.321, -9, 15, 9.8, 691559832
-6.512, 7.262, -6.534, 7.256, -9, 15, 9.9, 691559925
-6.516, 7.254, -6.576, 7.315, -9, 15, 10.2, 691560021
-6.508, 7.255, -6.658, 7.387, -9, 15, 9.9, 691560120
-6.515, 7.251, -6.550, 7.190, -9, 15, 9.9, 691560210
-6.503, 7.254, -6.571, 7.300, -9, 15, 9.7, 691560305
-6.504, 7.261, -6.650, 7.289, -9, 15, 9.8, 691560402
-6.504, 7.257, -6.565, 7.294, -9, 15, 9.7, 691560508
-6.509, 7.253, -6.681, 7.237, -9, 15, 9.7, 691560603
-6.518, 7.260, -6.682, 7.289, -9, 15, 9.6, 691560697
-6.523, 7.269, -6.640, 7.099, -9, 15, 9.9, 691560787
-6.522, 7.266, -6.677, 7.210, -9, 15, 9.8, 691560882
-6.523, 7.268, -6.676, 7.201, -9, 15, 9.9, 691560978
-6.527, 7.261, -6.644, 7.224, -9, 15, 10.1, 691561051
-6.532, 7.262, -6.650, 7.361, -9, 15, 9.9, 691561146
-6.529, 7.258, -6.753, 7.297, -9, 15, 9.6, 691561223
-6.528, 7.258, -6.628, 7.307, -9, 15, 10.2, 691561317
-6.529, 7.258, -6.615, 7.246, -9, 15, 9.7, 691561411
-6.532, 7.258, -6.740, 7.404, -9, 15, 9.9, 691561518
-6.523, 7.261, -6.703, 7.350, -9, 15, 9.9, 691561616
-6.529, 7.264, -6.761, 7.311, -9, 15, 9.8, 691561721
-6.530, 7.257, -6.712, 7.237, -9, 15, 9.9, 691561822
-6.535, 7.266, -6.683, 7.306, -9, 15, 10.2, 691561922
-6.533, 7.265, -6.738, 7.238, -9, 15, 9.7, 691562016
-6.531, 7.263, -6.710, 7.259, -9, 15, 9.7, 691562108
-6.523, 7.279, -6.611, 7.285, -9, 15, 9.6, 691562202
-6.526, 7.280, -6.673, 7.344, -9, 15, 9.7, 691562296
-6.519, 7.292, -6.604, 7.374, -9, 15, 9.7, 691562403
-6.499, 7.286, -6.606, 7.351, -9, 15, 10.0, 691562505
-6.507, 7.285, -6.681, 7.277, -9, 15, 9.7, 691562605
-6.513, 7.294, -6.576, 7.296, -9, 15, 9.8, 691562698
-6.524, 7.288, -6.717, 7.317, -9, 15, 9.6, 691562790
-6.530, 7.292, -6.636, 7.275, -9, 15, 10.0, 691562891
-6.531, 7.289, -6.606, 7.205, -9, 15, 9.7, 691562979
-6.526, 7.285, -6.668, 7.397, -9, 15, 9.9, 691563070
-6.524, 7.287, -6.619, 7.266, -9, 15, 9.7, 691563179
-6.527, 7.283, -6.618, 7.331, -9, 15, 9.6, 691563284
-6.525, 7.283, -6.664, 7.305, -9, 15, 9.9, 691563386
-6.528, 7.285, -6.641, 7.429, -9, 15, 9.7, 691563498
-6.532, 7.287, -6.626, 7.305, -9, 15, 9.9, 691563590
-6.545, 7.284, -6.645, 7.332, -9, 15, 9.7, 691563698
-6.538, 7.275, -6.579, 7.153, -9, 15, 9.8, 691563793
-6.532, 7.265, -6.722, 7.221, -9, 15, 9.8, 691563901
-6.533, 7.277, -6.722, 7.336, -9, 15, 9.7, 691564010
-6.537, 7.282, -6.697, 7.248, -9, 15, 10.0, 691564101
-6.531, 7.280, -6.717, 7.258, -9, 15, 9.8, 691564196
-6.533, 7.290, -6.721, 7.385, -9, 15, 9.9, 691564273
-6.532, 7.293, -6.630, 7.343, -9, 15, 9.8, 691564373
-6.537, 7.297, -6.680, 7.327, -9, 15, 9.8, 691564463
-6.536, 7.293, -6.685, 7.265, -9, 15, 9.8, 691564542
-6.542, 7.293, -6.715, 7.361, -9, 15, 9.6, 691564656
-6.535, 7.297, -6.604, 7.274, -9, 15, 10.0, 691564748
-6.543, 7.296, -6.666, 7.306, -9, 15, 9.4, 691564838
-6.547, 7.292, -6.682, 7.282, -9, 15, 9.8, 691564923
-6.552, 7.298, -6.734, 7.412, -9, 15, 10.1, 691565010
-6.550, 7.301, -6.752, 7.251, -9, 15, 9.7, 691565094
-6.555, 7.297, -6.853, 7.189, -9, 15, 10.2, 691565167
-6.556, 7.302, -6.778, 7.326, -9, 15, 9.7, 691565260
-6.545, 7.292, -6.695, 7.268, -9, 15, 9.7, 691565352
-6.546, 7.289, -6.704, 7.335, -9, 15, 9.7, 691565445
-6.540, 7.296, -6.733, 7.232, -9, 15, 9.5, 691565537
-6.534, 7.302, -6.602, 7.379, -9, 15, 9.8, 691565632
-6.542, 7.303, -6.706, 7.380, -9, 15, 9.8, 691565732
-6.549, 7.304, -6.679, 7.319, -9, 15, 9.8, 691565852
-6.551, 7.308, -6.554, 7.324, -9, 15, 9.8, 691565949
-6.550, 7.312, -6.686, 7.236, -9, 15, 9.8, 691566036
-6.543, 7.313, -6.629, 7.292, 7, 15, 10.0, 691566146
-6.548, 7.307, -6.678, 7.341, 7, 15, 9.7, 691566227
