XKALM, YKALM, XCZYST, YCZYST, KZAD, WZAD, WYS, CZAS 

0.558, 13.077, 0.800, 12.745, 13, 5, 21.5, 729152831
0.558, 13.066, 0.927, 12.771, 13, 5, 21.3, 729152961
0.550, 13.041, 0.594, 12.446, 13, 5, 21.5, 729153069
0.547, 13.042, 0.988, 12.149, 13, 5, 21.3, 729153169
0.549, 13.055, 0.916, 12.791, 13, 5, 21.3, 729153266
0.557, 13.044, 0.760, 12.358, 13, 5, 21.7, 729153364
0.557, 13.058, 0.833, 12.600, 13, 5, 21.7, 729153463
0.552, 13.058, 0.846, 12.584, 13, 5, 21.9, 729153573
0.558, 13.065, 0.693, 12.178, 13, 5, 21.3, 729153671
0.555, 13.047, 0.727, 12.274, 13, 5, 21.5, 729153818
0.505, 12.197, 0.972, 11.877, 13, 5, 21.5, 729153937
0.492, 9.912, 0.657, 9.940, 13, 5, 21.3, 729154040
0.466, 7.755, 0.608, 8.021, 13, 5, 21.5, 729154144
0.379, 4.373, 0.630, 5.109, 13, 5, 21.7, 729154235
0.318, 0.502, 0.531, 1.150, 13, 5, 21.8, 729154333
0.286, -2.576, 0.435, -1.420, 13, 5, 21.5, 729154442
0.221, -6.690, 0.494, -5.269, 13, 5, 21.5, 729154530
0.160, -9.625, 0.546, -8.400, 13, 5, 21.7, 729154644
0.140, -12.091, 0.382, -10.727, 13, 5, 21.9, 729154740
0.121, -13.238, 0.489, -12.094, 13, 5, 21.6, 729154839
0.097, -14.093, 0.399, -13.262, 13, 5, 21.5, 729154937
0.103, -14.175, 0.399, -13.584, 13, 5, 21.6, 729155044
0.121, -13.470, 0.438, -13.093, 13, 5, 21.5, 729155154
0.127, -12.496, 0.390, -12.383, 13, 5, 22.0, 729155237
0.165, -11.389, 0.462, -11.522, 13, 5, 21.7, 729155339
0.193, -10.035, 0.438, -10.562, 13, 5, 22.0, 729155438
0.204, -8.806, 0.535, -9.283, 13, 5, 21.5, 729155537
0.220, -7.975, 0.454, -8.774, 13, 5, 22.1, 729155637
0.232, -7.311, 0.394, -8.051, 13, 5, 21.5, 729155755
0.232, -6.957, 0.428, -7.686, 13, 5, 21.9, 729155834
0.226, -6.969, 0.339, -7.494, 13, 5, 22.0, 729155946
0.217, -7.225, 0.478, -7.983, 13, 5, 21.7, 729156040
0.215, -7.656, 0.444, -8.273, 13, 5, 21.9, 729156138
0.216, -7.986, 0.542, -8.467, 13, 5, 21.3, 729156245
0.213, -8.313, 0.575, -8.860, 13, 5, 21.4, 729156337
0.209, -8.529, 0.470, -9.001, 13, 5, 21.7, 729156437
0.216, -8.561, 0.495, -9.062, 13, 5, 21.6, 729156551
0.213, -8.447, 0.444, -8.917, 13, 5, 21.3, 729156657
0.213, -8.298, 0.411, -8.952, 13, 5, 21.8, 729156763
0.224, -8.199, 0.565, -8.848, 13, 5, 21.4, 729156871
0.223, -8.160, 0.437, -8.660, 13, 5, 21.7, 729156968
0.227, -8.190, 0.510, -8.819, 13, 5, 21.7, 729157069
0.223, -8.243, 0.486, -8.786, 13, 5, 21.6, 729157191
0.222, -8.271, 0.502, -8.996, 13, 5, 22.0, 729157281
0.215, -8.278, 0.430, -8.842, 13, 5, 21.4, 729157372
0.221, -8.266, 0.470, -8.820, 13, 5, 21.6, 729157476
0.213, -8.255, 0.356, -8.827, 13, 5, 21.7, 729157569
0.218, -8.255, 0.566, -9.019, 13, 5, 21.3, 729157668
0.213, -8.278, 0.380, -9.049, 13, 5, 21.7, 729157775
0.223, -8.274, 0.462, -8.884, 13, 5, 21.6, 729157903
0.230, -8.272, 0.445, -8.936, 13, 5, 21.7, 729157996
0.234, -8.276, 0.429, -8.840, 13, 5, 21.5, 729158103
0.235, -8.278, 0.492, -8.772, 13, 5, 21.6, 729158205
0.223, -8.279, 0.462, -8.883, 13, 5, 21.3, 729158292
0.216, -8.278, 0.421, -8.962, 13, 5, 21.7, 729158387
0.218, -8.276, 0.487, -8.819, 13, 5, 21.3, 729158485
0.219, -8.281, 0.583, -8.775, 13, 5, 21.5, 729158597
0.223, -8.288, 0.549, -8.789, 13, 5, 21.5, 729158686
0.212, -8.283, 0.492, -8.857, 13, 5, 21.8, 729158788
0.202, -8.291, 0.430, -8.932, 13, 5, 21.8, 729158902
0.198, -8.284, 0.372, -8.810, 13, 5, 21.6, 729158998
0.191, -8.280, 0.469, -8.871, 13, 5, 21.7, 729159091
0.188, -8.284, 0.461, -8.906, 13, 5, 21.7, 729159198
0.189, -8.290, 0.477, -8.841, 13, 5, 21.8, 729159294
0.182, -8.303, 0.487, -8.929, 13, 5, 22.0, 729159394
0.198, -8.292, 0.486, -8.917, 13, 5, 21.7, 729159496
0.193, -8.288, 0.331, -8.823, 13, 5, 21.3, 729159590
0.186, -8.294, 0.510, -8.859, 13, 5, 22.2, 729159626
0.185, -8.293, 0.421, -8.856, 13, 5, 22.2, 729159660
