XKALM, YKALM, XCZYST, YCZYST, KZAD, WZAD, WYS, CZAS 

-7.714, 4.539, -7.672, 4.456, 7, 12, 9.6, 691638798
-7.723, 4.510, -7.761, 4.519, 7, 12, 10.0, 691638928
-7.719, 4.481, -7.698, 4.354, 7, 12, 10.0, 691639022
-7.718, 4.466, -7.763, 4.478, 7, 12, 9.8, 691639099
-7.718, 4.454, -7.915, 4.396, 7, 12, 9.9, 691639191
-7.717, 4.442, -7.834, 4.433, 7, 12, 9.8, 691639291
-7.723, 4.429, -7.752, 4.437, 7, 12, 9.7, 691639382
-7.723, 4.411, -7.812, 4.345, 7, 12, 9.8, 691639462
-7.714, 4.419, -7.661, 4.489, 7, 12, 10.1, 691639560
-7.711, 4.414, -7.689, 4.331, 7, 12, 9.7, 691639654
-7.716, 4.417, -7.778, 4.443, 7, 12, 9.9, 691639728
-7.715, 4.414, -7.756, 4.354, 7, 12, 9.7, 691639839
-7.714, 4.413, -7.683, 4.428, 7, 12, 9.9, 691639918
-7.700, 4.421, -7.719, 4.431, 7, 12, 9.7, 691640013
-7.704, 4.424, -7.792, 4.476, 7, 12, 9.6, 691640093
-7.708, 4.413, -7.731, 4.378, 7, 12, 9.5, 691640190
-7.706, 4.414, -7.817, 4.372, 7, 12, 10.0, 691640268
-7.706, 4.412, -7.882, 4.356, 7, 12, 9.9, 691640364
-7.701, 4.405, -7.712, 4.377, 7, 12, 9.9, 691640442
-7.704, 4.416, -7.637, 4.407, 7, 12, 9.8, 691640539
-7.703, 4.419, -7.804, 4.320, 7, 12, 9.5, 691640628
-7.700, 4.435, -7.789, 4.441, 7, 12, 9.7, 691640706
-7.705, 4.430, -7.854, 4.380, 7, 12, 9.5, 691640804
-7.710, 4.432, -7.832, 4.482, 7, 12, 9.6, 691640896
-7.712, 4.442, -7.824, 4.491, 7, 12, 9.9, 691640988
-7.715, 4.436, -7.760, 4.425, 7, 12, 9.8, 691641071
-7.719, 4.432, -7.802, 4.336, 7, 12, 10.0, 691641159
-7.712, 4.430, -7.865, 4.368, 7, 12, 9.8, 691641251
-7.720, 4.431, -7.837, 4.499, 7, 12, 9.5, 691641353
-7.721, 4.441, -7.716, 4.505, 7, 12, 9.7, 691641457
-7.722, 4.440, -7.789, 4.444, 7, 12, 9.8, 691641550
-7.722, 4.447, -7.707, 4.575, 7, 12, 9.7, 691641644
-7.718, 4.449, -7.876, 4.447, 7, 12, 9.5, 691641748
-7.738, 4.440, -7.794, 4.599, 7, 12, 9.9, 691641845
-7.731, 4.438, -7.726, 4.464, 7, 12, 9.8, 691641938
