XKALM, YKALM, XCZYST, YCZYST, KZAD, WZAD, WYS, CZAS

    
-2.040, -10.911, -1.792, -10.958, 0, 5, 2.3, 571295510
-2.040, -10.911, -1.768, -10.903, 0, 5, 2.7, 571295593
-2.036, -10.911, -1.815, -10.924, 0, 5, 2.5, 571295721
-2.032, -10.915, -1.867, -11.041, 0, 5, 2.4, 571295813
-2.032, -10.913, -1.751, -10.885, 0, 5, 2.4, 571295903
-2.031, -10.912, -1.795, -10.822, 0, 5, 2.4, 571295980
-2.031, -10.911, -1.840, -10.906, 0, 5, 2.2, 571296084
-2.032, -10.913, -1.841, -10.892, 0, 5, 2.4, 571296179
-2.029, -10.910, -1.787, -10.869, 0, 5, 2.6, 571296269
-2.030, -10.909, -1.813, -10.892, 0, 5, 2.3, 571296358
-2.030, -10.910, -1.946, -11.057, 0, 5, 2.7, 571296445
-2.035, -10.912, -1.808, -10.979, 0, 5, 2.4, 571296529
-2.038, -10.912, -1.845, -10.952, 0, 5, 2.6, 571296625
-2.041, -10.912, -1.803, -10.910, 0, 5, 2.5, 571296707
-2.042, -10.908, -1.877, -10.764, 0, 5, 2.7, 571296780
-2.042, -10.910, -1.896, -10.933, 0, 5, 2.3, 571296874
-2.043, -10.911, -1.863, -10.935, 0, 5, 2.3, 571296957
-2.045, -10.909, -1.782, -10.873, 0, 5, 2.4, 571297041
-2.046, -10.906, -1.766, -11.042, 0, 5, 2.4, 571297127
-2.048, -10.909, -1.841, -10.984, 0, 5, 2.4, 571297201
-2.052, -10.911, -1.811, -10.861, 0, 5, 2.4, 571297297
-2.054, -10.912, -1.846, -10.877, 0, 5, 2.4, 571297388
-2.057, -10.914, -1.922, -10.916, 0, 5, 2.6, 571297498
-2.051, -10.916, -1.749, -10.799, 0, 5, 2.6, 571297601
-2.052, -10.914, -1.662, -10.949, 0, 5, 2.3, 571297704
-2.051, -10.916, -1.791, -10.880, 0, 5, 2.5, 571297794
-2.050, -10.919, -1.880, -11.000, 0, 5, 2.5, 571297885
-2.052, -10.921, -1.789, -10.817, 0, 5, 2.5, 571297967
-2.050, -10.920, -1.777, -10.932, 0, 5, 2.4, 571298060
-2.050, -10.919, -1.820, -10.920, 0, 5, 2.5, 571298153
-2.054, -10.919, -1.825, -10.851, 0, 5, 2.3, 571298244
-2.054, -10.922, -1.796, -10.826, 0, 5, 2.4, 571298340
-2.052, -10.928, -1.826, -11.009, 0, 5, 2.5, 571298437
-2.048, -10.924, -1.809, -10.899, 0, 5, 2.3, 571298530
-2.045, -10.921, -1.822, -11.006, 0, 5, 2.4, 571298619
-2.047, -10.924, -1.872, -10.924, 0, 5, 2.2, 571298714
-2.045, -10.923, -1.698, -10.905, 0, 5, 2.4, 571298808
-2.047, -10.921, -1.744, -10.965, 0, 5, 2.6, 571298897
-1.964, -10.927, -1.494, -10.701, 0, 5, 2.7, 571298994
-1.964, -10.900, -1.865, -11.066, 0, 5, 2.3, 571299094
-1.942, -10.872, -1.818, -11.490, 0, 5, 2.3, 571299185
-2.018, -10.895, -1.798, -10.131, 0, 5, 2.6, 571299259
-2.410, -10.942, -1.959, -11.430, 0, 5, 2.5, 571299335
