XKALM, YKALM, XCZYST, YCZYST, KZAD, WZAD, WYS, CZAS

    
0.063, -9.657, 0.219, -10.356, 0, 5, 21.9, 728867775
0.063, -9.660, 0.129, -10.250, 0, 5, 21.7, 728867851
0.067, -9.662, 0.089, -10.181, 0, 5, 21.7, 728867937
0.053, -9.664, 0.057, -10.300, 0, 5, 21.5, 728868042
0.052, -9.666, 0.234, -10.238, 0, 5, 21.7, 728868142
0.047, -9.662, 0.081, -10.200, 0, 5, 21.7, 728868242
0.049, -9.663, 0.211, -10.210, 0, 5, 21.5, 728868339
0.044, -9.665, 0.024, -10.352, 0, 5, 21.4, 728868448
0.036, -9.672, -0.040, -10.184, 0, 5, 21.9, 728868541
0.036, -9.671, 0.186, -10.383, 0, 5, 21.8, 728868643
0.037, -9.665, 0.227, -10.332, 0, 5, 21.6, 728868768
0.030, -9.654, 0.081, -10.114, 0, 5, 21.6, 728868898
0.034, -9.658, 0.081, -10.336, 0, 5, 21.8, 728868994
0.041, -9.656, 0.170, -10.303, 0, 5, 21.8, 728869096
0.041, -9.663, 0.073, -10.162, 0, 5, 21.6, 728869191
0.035, -9.660, 0.203, -10.228, 0, 5, 22.1, 728869291
0.038, -9.660, 0.154, -10.207, 0, 5, 21.8, 728869389
0.032, -9.665, 0.154, -10.339, 0, 5, 21.6, 728869472
0.033, -9.657, 0.171, -10.167, 0, 5, 21.7, 728869591
0.037, -9.659, 0.032, -10.169, 0, 5, 21.7, 728869675
0.037, -9.655, 0.170, -10.255, 0, 5, 22.0, 728869785
0.029, -9.648, 0.113, -10.260, 0, 5, 21.8, 728869883
0.035, -9.651, 0.194, -10.186, 0, 5, 21.8, 728869983
0.036, -9.644, 0.236, -10.335, 0, 5, 21.5, 728870069
0.039, -9.637, 0.187, -10.270, 0, 5, 21.4, 728870169
0.047, -9.642, 0.194, -10.292, 0, 5, 21.3, 728870272
0.050, -9.648, 0.113, -10.390, 0, 5, 21.9, 728870371
0.048, -9.649, 0.194, -10.228, 0, 5, 22.0, 728870472
0.042, -9.647, 0.129, -10.225, 0, 5, 21.8, 728870571
0.044, -9.642, 0.073, -10.232, 0, 5, 21.7, 728870673
0.048, -9.652, 0.154, -10.212, 0, 5, 21.6, 728870765
0.047, -9.653, 0.178, -10.220, 0, 5, 21.2, 728870853
0.047, -9.656, 0.072, -10.245, 0, 5, 21.8, 728870945
0.048, -9.665, 0.113, -10.252, 0, 5, 21.5, 728871051
0.044, -9.653, 0.154, -10.166, 0, 5, 21.6, 728871145
0.040, -9.664, 0.227, -10.165, 0, 5, 21.7, 728871246
0.040, -9.656, 0.170, -10.271, 0, 5, 21.8, 728871348
0.051, -9.659, 0.113, -10.283, 0, 5, 21.8, 728871448
0.045, -9.662, 0.105, -10.257, 0, 5, 21.5, 728871549
0.041, -9.661, 0.252, -10.340, 0, 5, 21.8, 728871646
0.044, -9.660, 0.122, -10.356, 0, 5, 21.5, 728871749
0.044, -9.658, 0.219, -10.191, 0, 5, 21.7, 728871844
0.047, -9.661, 0.170, -10.284, 0, 5, 21.7, 728871945
0.048, -9.664, 0.235, -10.236, 0, 5, 21.7, 728872046
