XKALM, YKALM, XCZYST, YCZYST, KZAD, WZAD, WYS, CZAS

    
-1.310, 3.856, -1.359, 3.942, 0, 5, 28.8, 884820575
-1.302, 3.860, -1.273, 3.861, 0, 5, 28.6, 884820664
-1.313, 3.876, -1.113, 3.834, 0, 5, 28.7, 884820751
-1.316, 3.875, -1.243, 3.950, 0, 5, 28.4, 884820848
-1.314, 3.868, -1.214, 3.879, 0, 5, 28.9, 884820939
-1.310, 3.864, -1.174, 3.887, 0, 5, 29.1, 884821022
-1.309, 3.869, -1.275, 3.950, 0, 5, 28.2, 884821113
-1.311, 3.870, -1.191, 3.801, 0, 5, 28.6, 884821206
-1.318, 3.870, -1.303, 3.961, 0, 5, 28.7, 884821303
-1.312, 3.869, -1.194, 3.877, 0, 5, 28.5, 884821410
-1.311, 3.864, -1.208, 3.854, 0, 5, 28.8, 884821492
-1.318, 3.864, -1.252, 3.799, 0, 5, 28.5, 884821583
-1.318, 3.870, -1.153, 3.883, 0, 5, 28.7, 884821682
-1.320, 3.871, -1.273, 3.999, 0, 5, 28.5, 884821756
-1.318, 3.869, -1.206, 3.790, 0, 5, 28.3, 884821851
-1.324, 3.868, -1.359, 3.911, 0, 5, 29.2, 884821927
-1.328, 3.871, -1.358, 4.005, 0, 5, 29.1, 884822020
-1.322, 3.878, -1.235, 3.844, 0, 5, 28.5, 884822103
-1.328, 3.877, -1.311, 3.904, 0, 5, 28.7, 884822194
-1.329, 3.878, -1.295, 3.865, 0, 5, 28.9, 884822285
-1.330, 3.871, -1.364, 3.941, 0, 5, 28.3, 884822365
-1.332, 3.870, -1.404, 3.852, 0, 5, 28.7, 884822463
-1.334, 3.878, -1.249, 3.871, 0, 5, 28.7, 884822556
-1.334, 3.874, -1.200, 3.861, 0, 5, 29.1, 884822641
-1.334, 3.880, -1.350, 3.802, 0, 5, 28.4, 884822733
-1.330, 3.884, -1.177, 3.793, 0, 5, 28.5, 884822833
-1.325, 3.882, -1.202, 3.874, 0, 5, 28.6, 884822911
-1.323, 3.891, -1.261, 3.940, 0, 5, 29.1, 884823002
-1.326, 3.894, -1.243, 3.788, 0, 5, 28.5, 884823097
-1.320, 3.892, -1.257, 3.797, 0, 5, 28.7, 884823193
-1.318, 3.891, -1.274, 3.848, 0, 5, 28.4, 884823277
-1.324, 3.896, -1.317, 3.961, 0, 5, 28.6, 884823363
-1.322, 3.908, -1.264, 3.891, 0, 5, 29.2, 884823456
-1.325, 3.907, -1.170, 3.886, 0, 5, 28.4, 884823538
-1.325, 3.905, -1.390, 3.874, 0, 5, 28.4, 884823619
-1.327, 3.900, -1.282, 3.938, 0, 5, 28.6, 884823693
-1.330, 3.892, -1.258, 3.859, 0, 5, 28.8, 884823794
-1.334, 3.890, -1.284, 3.856, 0, 5, 28.6, 884823895
-1.329, 3.884, -1.306, 3.889, 0, 5, 28.9, 884823989
-1.335, 3.877, -1.286, 3.756, 0, 5, 29.3, 884824083
-1.331, 3.891, -1.275, 3.918, 0, 5, 28.4, 884824177
-1.330, 3.880, -1.314, 3.734, 0, 5, 28.7, 884824267
-1.325, 3.879, -1.309, 3.842, 0, 5, 28.7, 884824349
