XKALM, YKALM, XCZYST, YCZYST, KZAD, WZAD, WYS, CZAS 

-7.579, 8.190, -7.668, 8.281, 7, 15, 9.3, 691596910
-7.580, 8.200, -7.713, 8.181, 7, 15, 9.6, 691597025
-7.592, 8.209, -7.659, 8.388, 7, 15, 9.9, 691597120
-7.586, 8.208, -7.660, 8.244, 7, 15, 10.1, 691597219
-7.589, 8.207, -7.668, 8.193, 7, 15, 9.6, 691597293
-7.588, 8.206, -7.611, 8.159, 7, 15, 9.9, 691597386
-7.591, 8.203, -7.589, 8.105, 7, 15, 10.0, 691597479
-7.589, 8.202, -7.745, 8.204, 7, 15, 9.6, 691597556
-7.589, 8.200, -7.642, 8.191, 7, 15, 9.9, 691597649
-7.584, 8.199, -7.687, 8.226, 7, 15, 10.0, 691597725
-7.586, 8.202, -7.805, 8.305, 7, 15, 10.0, 691597821
-7.581, 8.201, -7.632, 8.222, 7, 15, 9.9, 691597924
-7.584, 8.190, -7.651, 8.184, 7, 15, 9.9, 691598012
-7.587, 8.184, -7.694, 8.252, 7, 15, 9.7, 691598103
-7.584, 8.182, -7.705, 8.245, 7, 15, 9.9, 691598214
-7.589, 8.187, -7.568, 8.125, 7, 15, 9.6, 691598318
-7.590, 8.193, -7.624, 8.125, 7, 15, 9.7, 691598405
-7.586, 8.191, -7.677, 8.178, 7, 15, 9.9, 691598512
-7.591, 8.194, -7.689, 8.344, 7, 15, 10.0, 691598599
-7.585, 8.205, -7.739, 8.181, 7, 15, 9.8, 691598698
-7.593, 8.203, -7.661, 8.252, 7, 15, 9.8, 691598773
-7.584, 8.194, -7.553, 8.150, 7, 15, 9.9, 691598848
-7.595, 8.196, -7.763, 8.213, 7, 15, 9.7, 691598928
-7.592, 8.207, -7.725, 8.364, 7, 15, 9.7, 691599023
-7.599, 8.210, -7.725, 8.257, 7, 15, 9.8, 691599118
-7.590, 8.216, -7.556, 8.327, 7, 15, 9.7, 691599215
-7.593, 8.212, -7.672, 8.115, 7, 15, 9.6, 691599317
-7.592, 8.206, -7.714, 8.173, 7, 15, 9.8, 691599414
-7.586, 8.209, -7.664, 8.188, 7, 15, 9.7, 691599511
-7.588, 8.210, -7.722, 8.263, 7, 15, 9.9, 691599614
-7.584, 8.209, -7.688, 8.319, 7, 15, 10.0, 691599706
-7.582, 8.213, -7.608, 8.330, 7, 15, 9.8, 691599803
-7.583, 8.214, -7.624, 8.197, 7, 15, 10.0, 691599880
-7.583, 8.210, -7.664, 8.228, 7, 15, 9.6, 691599973
-7.584, 8.208, -7.618, 8.134, 7, 15, 9.8, 691600069
-7.589, 8.212, -7.784, 8.366, 7, 15, 9.9, 691600145
-7.601, 8.216, -7.791, 8.185, 7, 15, 10.0, 691600242
-7.601, 8.217, -7.751, 8.251, 7, 15, 9.6, 691600334
-7.604, 8.223, -7.758, 8.252, 7, 15, 9.5, 691600414
-7.604, 8.219, -7.658, 8.272, 7, 15, 9.7, 691600506
-7.603, 8.214, -7.793, 8.219, 7, 15, 9.8, 691600599
-7.599, 8.220, -7.730, 8.155, 7, 15, 9.8, 691600697
-7.601, 8.209, -7.639, 8.140, 7, 15, 10.0, 691600770
-7.596, 8.217, -7.641, 8.207, 7, 15, 9.5, 691600867
-7.604, 8.218, -7.684, 8.308, 7, 15, 9.6, 691600977
-7.610, 8.235, -7.643, 8.298, 7, 15, 9.9, 691601086
-7.608, 8.237, -7.648, 8.147, 7, 15, 9.8, 691601181
-7.602, 8.237, -7.665, 8.237, 7, 15, 9.8, 691601266
-7.604, 8.239, -7.697, 8.314, 7, 15, 9.7, 691601363
-7.593, 8.239, -7.570, 8.167, 7, 15, 9.7, 691601479
-7.604, 8.244, -7.641, 8.337, 7, 15, 9.4, 691601553
-7.607, 8.252, -7.707, 8.265, 7, 15, 9.7, 691601650
-7.612, 8.254, -7.740, 8.297, 7, 15, 9.6, 691601724
-7.605, 8.247, -7.614, 8.195, 7, 15, 9.6, 691601818
-7.603, 8.247, -7.740, 8.349, 7, 15, 9.6, 691601891
-7.605, 8.251, -7.734, 8.300, 7, 15, 9.6, 691601985
-7.597, 8.253, -7.639, 8.336, 7, 15, 9.9, 691602070
-7.596, 8.250, -7.712, 8.271, 7, 15, 9.6, 691602140
-7.605, 8.256, -7.668, 8.428, 7, 15, 9.8, 691602225
-7.606, 8.256, -7.648, 8.320, 7, 15, 9.8, 691602328
-7.603, 8.256, -7.749, 8.225, 7, 15, 9.7, 691602407
-7.774, 8.233, -26.715, 4.781, 7, 15, 9.6, 691602500
-9.272, 8.184, -28.408, 2.611, 7, 15, 9.9, 691602601
-9.899, 8.597, -40.089, 9.064, 7, 15, 9.8, 691602689
-10.189, 8.210, -27.828, 7.908, 7, 15, 9.7, 691602748
-11.055, 6.760, -69.935, 10.175, 7, 15, 10.0, 691602859
-14.550, 0.053, -5.513, -5.100, 7, 15, 9.5, 691602956
-14.030, -4.671, -9.922, -2.768, 7, 15, 9.9, 691603054
-13.110, -5.255, -9.339, -4.792, 7, 15, 9.7, 691603146
-12.201, -3.139, -8.700, -3.608, 7, 15, 9.6, 691603237
