XKALM, YKALM, XCZYST, YCZYST, KZAD, WZAD, WYS, CZAS

    
0.353, -7.029, 0.600, -7.029, 0, 5, 22.1, 730513889
0.345, -7.028, 0.447, -6.905, 0, 5, 21.8, 730513964
0.351, -7.014, 0.446, -6.845, 0, 5, 22.4, 730514060
0.351, -7.023, 0.461, -7.009, 0, 5, 22.1, 730514138
0.355, -7.023, 0.437, -6.948, 0, 5, 22.1, 730514232
0.358, -7.026, 0.429, -6.922, 0, 5, 22.3, 730514315
0.351, -7.025, 0.535, -6.938, 0, 5, 21.9, 730514403
0.346, -7.024, 0.460, -6.912, 0, 5, 22.4, 730514481
0.348, -7.013, 0.453, -7.063, 0, 5, 22.0, 730514575
0.349, -7.012, 0.518, -7.055, 0, 5, 22.2, 730514653
0.342, -7.013, 0.397, -6.957, 0, 5, 22.5, 730514750
0.346, -7.007, 0.445, -6.890, 0, 5, 22.5, 730514831
0.342, -7.004, 0.388, -7.010, 0, 5, 22.3, 730514926
0.343, -7.007, 0.559, -7.093, 0, 5, 22.5, 730515027
0.332, -7.008, 0.413, -6.991, 0, 5, 22.3, 730515097
0.329, -7.011, 0.485, -6.972, 0, 5, 22.2, 730515190
0.327, -7.016, 0.453, -6.894, 0, 5, 22.4, 730515290
0.335, -7.027, 0.534, -6.930, 0, 5, 22.2, 730515396
0.335, -7.023, 0.461, -7.069, 0, 5, 22.2, 730515487
0.337, -7.017, 0.356, -6.987, 0, 5, 22.9, 730515570
0.339, -7.020, 0.381, -6.886, 0, 5, 22.5, 730515662
0.330, -7.023, 0.292, -6.971, 0, 5, 22.4, 730515761
0.333, -7.022, 0.493, -6.989, 0, 5, 22.6, 730515849
0.332, -7.022, 0.447, -6.805, 0, 5, 22.4, 730515943
0.333, -7.038, 0.551, -7.072, 0, 5, 22.1, 730516040
0.327, -7.032, 0.405, -6.970, 0, 5, 22.7, 730516138
0.329, -7.037, 0.544, -7.001, 0, 5, 22.1, 730516231
0.333, -7.036, 0.388, -7.045, 0, 5, 21.8, 730516314
0.324, -7.032, 0.558, -6.842, 0, 5, 22.3, 730516405
0.334, -7.029, 0.331, -6.954, 0, 5, 22.3, 730516494
0.331, -7.024, 0.493, -6.777, 0, 5, 22.2, 730516586
0.332, -7.027, 0.485, -6.948, 0, 5, 22.1, 730516677
0.323, -7.041, 0.478, -7.035, 0, 5, 22.1, 730516773
0.328, -7.046, 0.445, -7.017, 0, 5, 22.3, 730516865
0.326, -7.041, 0.429, -6.951, 0, 5, 22.2, 730516969
0.338, -7.036, 0.570, -7.083, 0, 5, 22.3, 730517062
0.333, -7.034, 0.550, -6.904, 0, 5, 22.3, 730517150
0.334, -7.038, 0.381, -6.999, 0, 5, 22.1, 730517238
0.332, -7.040, 0.517, -7.020, 0, 5, 22.3, 730517315
0.328, -7.045, 0.397, -7.062, 0, 5, 22.1, 730517410
0.329, -7.041, 0.421, -7.005, 0, 5, 22.3, 730517506
0.337, -7.048, 0.502, -7.100, 0, 5, 22.2, 730517595
0.346, -7.044, 0.444, -7.064, 0, 5, 22.1, 730517690
0.343, -7.045, 0.412, -7.003, 0, 5, 22.1, 730517791
